Gene Symbol	33	34	35	36	37	41	42	43	46	47	48	50	53	54	59	60	61	63	64	65	66	67	70	71	86	87	88	89	92	94	95	96	97	99	100	115	117	118	121	123	125	127	128	129	76	104	105	106	107	101	108	109	110
ACRBP	3.4127062	3.9512923	3.7309532	6.356555	5.714847	3.5686915	4.6069716	4.5768784	4.8037606	4.3578335	3.4858587	4.0967759	4.5468058	3.8481551	4.1321458	4.2128699	4.1075297	4.2915293	4.4288709	3.7968607	3.3678935	2.8989276	5.1790981	4.6752606	4.0736351	4.7248483	4.5696227	3.2696425	3.9028827	3.1220676	5.3476245	4.8751194	3.4420714	5.6116146	3.2034336	4.5115218	3.535656	5.2855386	4.5448237	3.4994444	4.8604171	5.3363033	3.5485207	3.916464	4.5113218	4.5319413	4.7585542	4.3677861	5.0553834	4.3516294	4.6627539	4.5830499	4.0197283
ACTL8	5.1595257	6.0692413	4.9174492	6.183178	5.549842	6.9762894	4.7779592	5.5318642	5.2308749	5.1248637	5.5460017	5.9522544	3.4524973	6.3660398	4.071226	4.5065754	4.402583	5.9162211	5.1342344	5.5371121	5.9613164	4.9127487	5.4122627	5.0212499	6.3328926	5.5645497	5.3144197	5.3873273	6.7431893	3.9397259	5.5023592	5.6910054	5.3971799	5.6991718	5.2274918	5.3052282	5.9921723	5.8405364	4.9072093	5.6332473	5.1493183	5.6842824	4.9936245	5.3791892	4.2913945	4.8199284	4.4429092	4.744075	4.1352013	5.0114425	4.9448162	5.3648075	5.1050507
ADAM2	3.8346748	5.8008665	3.012602	3.648505	3.1799803	3.2388786	4.5953576	4.9499969	3.2850647	3.7878658	1.9404405	3.1022114	3.1553958	3.5446659	4.806158	3.8447203	3.3048295	8.6232638	3.3467591	4.2096386	1.6644813	3.9072581	3.0386963	6.4870292	7.3306272	4.0557616	3.5498034	3.654187	3.950581	3.7658573	3.1690293	3.7486971	4.1199308	3.3479301	3.5256697	3.590301	3.9101561	3.4252664	4.2330194	4.1851398	3.5486043	3.6176136	4.2953228	3.2985756	2.7895963	4.0899362	4.2929023	5.1537538	3.1525894	5.3725922	5.2021007	5.3878413	4.7847795
AKAP3	4.6731335	4.9692293	5.2318475	5.2443593	4.725834	4.8178231	5.80924	6.0002955	4.8136	5.817006	5.2146846	5.4279438	5.091369	4.3025317	5.086466	5.7887474	4.542758	4.6091023	4.9680601	5.4210128	4.485333	5.0048742	4.9026826	5.1231269	3.8593865	4.8037511	4.7387352	4.7250401	4.5367457	4.9156424	4.1071043	4.232919	5.3063364	5.1656066	4.8474268	5.7886948	4.9204796	6.4287058	3.5474804	4.712955	5.2074643	5.6205727	4.9131611	5.4280588	5.0456223	5.1195654	5.1893314	4.775772	4.1421563	4.8283291	4.3510985	4.2779881	4.2313617
AKAP4	4.7801369	4.3708518	3.7963791	3.1953632	3.4629679	3.858812	4.0418494	4.2768747	3.5160388	3.3310405	3.0103181	3.508173	4.2957682	4.5264083	4.3096933	4.7644406	4.1647065	4.3931983	4.2020847	3.8168987	2.6107799	4.5246113	4.017978	3.8795606	3.5149795	4.9872642	5.3234325	4.499713	4.8478884	4.5884526	3.2470084	3.6936327	3.8615379	3.7721055	4.077662	4.7590523	4.2494462	3.6586745	4.3814685	4.2765472	4.522378	4.2094228	3.7098176	4.3146771	4.9522044	3.6950358	4.1148421	3.9018909	3.6377674	3.4877932	3.7766639	3.0866166	4.0800759
ARHGAP28	3.8884553	4.5304834	4.3711726	3.7031956	3.4930429	3.9685596	3.8677687	3.7339188	3.6848579	3.3586497	3.0199709	3.7816344	4.0980402	3.7436044	4.3616737	4.3187399	4.1639306	4.5915971	4.5156472	4.2902107	4.7071295	3.3085843	3.3806519	3.8091683	3.9547621	3.3595586	3.6408843	2.8540938	3.590381	3.7334022	3.468076	3.7659796	3.8951421	3.777643	3.5572281	3.9017925	3.5427196	3.7594386	4.7064793	4.1882708	3.9151074	3.5393598	3.2931792	3.6315971	2.7102015	4.4690503	3.6893979	2.9998275	4.585004	3.880916	4.6290618	3.9558088	4.1577671
ATAD2	7.0844765	6.7200272	7.096431	6.3211469	6.722794	6.6880673	7.8231719	7.5974805	7.0939951	7.8397562	6.8533763	6.7684692	6.6100752	6.9267789	6.91994	7.0024334	7.0204489	6.8022665	6.9895966	7.2780581	6.842422	7.0891385	6.9821196	6.9148189	6.5586305	6.6148728	6.5114309	7.1901607	6.5694938	6.7254196	7.1677074	7.029652	6.8873063	6.3320229	6.6366097	7.1955431	6.6749776	7.0742783	5.7183737	6.9462145	7.2778272	6.8807673	7.0666608	6.6476943	5.8509653	5.872848	5.6987819	5.3909639	5.5245418	6.8234901	6.7378779	6.9255686	6.355022
BAGE	4.3017827	5.6556097	3.9112095	3.9341334	4.0027922	3.746255	4.2049035	4.3706918	3.0262043	3.9598257	3.3693709	3.7855499	3.3960907	3.292622	4.605975	3.7022217	4.4907409	4.3559693	2.7730993	4.0396943	3.8879043	3.0195755	4.2808375	3.0686797	3.599648	4.362776	4.6229141	4.1621203	3.6705425	3.7865555	3.60886	4.0668118	3.7770692	4.0794074	3.5262966	3.597658	3.2929605	3.6697026	3.6031009	3.234033	2.7801504	3.3061094	3.5927261	3.7052152	4.8243786	4.034953	4.7467487	4.9527244	5.0237555	3.874712	3.7678443	4.1484234	4.2286013
BRDT	3.3337339	3.4289586	3.3336957	3.6429059	2.3861335	3.3592591	2.9515501	3.018566	4.5058142	3.2017159	3.1192226	3.3539534	4.1759972	3.4868957	3.6725275	3.6384004	1.9738885	2.88983	3.1936115	2.8736213	2.410516	2.810209	3.8176796	3.686657	3.1293888	2.6629544	3.7466545	3.3712126	3.533881	3.5678004	3.3274641	3.5856813	3.24107	2.6433941	2.9556041	3.1391656	3.4852098	3.5211874	3.9778606	4.5137711	4.2785715	2.3808883	3.3612326	2.8733013	4.600766	3.0768758	3.7570449	3.2958858	4.3686093	3.9509876	3.3491594	3.8434053	3.1386998
