Gene	X131	X134	X136	X137	X132	X135	X138	X90	X102	X112	X119	X55	X36	X38	X39	X40	X44	X49	X51	X52	X56	X57	X58	X62	X68	X69	X72	X73	X74	X75	X84	X93	X98	X114	X116	X120	X124	X126	X130	X133	X35	X41	X42	X59	X61	X127	X33	X64	X99	X115	X129	X47	X92	X94	X100	X118	X34	X37	X46	X48	X50	X54	X60	X65	X67	X86	X89	X95	X96	X97	X117	X128
TYR	3.8219499	3.7994857	4.2632137	3.6325136	3.4705958	3.2641858	3.6368103	3.8009042	3.8212919	3.7730548	3.3491268	3.4930421	4.4513844	3.8264882	3.1848699	4.3297261	3.437248	4.1847602	3.8330689	4.6110233	3.9325028	4.3368409	4.1953854	4.0532351	4.0224036	3.8255798	3.2418075	4.7364008	4.672699	3.9331396	3.835707	4.5405378	4.335286	4.2994598	2.8005991	4.3312798	3.9385822	4.2372535	3.8027454	4.0121796	3.8657808	3.5164754	3.9744399	4.1688106	3.3428447	4.1696441	3.7088719	4.3151563	3.9224884	3.7776553	4.1532831	3.7023858	3.9741305	4.2835006	3.6435267	3.8714007	3.2506874	3.7951326	4.2633918	5.1046694	3.4072762	4.3247295	3.56641	4.4948222	2.95515	3.8660194	4.5353097	3.8884138	3.5897959	3.7734934	3.9389084	4.4190377
TYRP1	5.7323838	4.8054192	5.7749687	4.9819571	4.3788083	5.6146755	4.5943962	6.8406129	4.8266638	5.9309398	5.3203236	5.0532088	6.5674495	4.8175583	4.6461471	5.0353198	6.0723797	5.1305357	5.9704358	5.3208447	5.3764701	5.0505964	5.6016331	6.1820471	4.7243396	6.0949126	4.8403387	5.6796134	4.9312231	5.8582894	5.2299864	3.8916303	4.9630033	6.086817	4.5819622	6.0601897	5.8570442	5.0003588	4.7604059	5.7156846	6.4150104	5.8395784	4.2241474	5.5315305	5.1457831	5.5353538	5.9196574	5.4633767	4.9219206	5.3892264	5.2583705	3.9758578	4.8469923	5.3443607	5.9893661	5.6250276	5.792832	5.1413653	5.5193087	5.7497948	6.2841973	6.4218616	4.4821393	4.4185037	5.5331683	6.3425019	5.3537216	5.1901832	5.2952599	4.8969936	5.4459197	5.3990784
GPC3	4.361565	3.9397591	3.673072	4.4293387	4.4202018	5.2835724	5.2089073	4.5159104	4.5174381	4.5144782	4.2191755	4.4051667	3.6142992	4.0279234	5.7868738	4.6744991	4.5172432	4.1807315	3.4523384	4.304319	3.3413014	4.7519439	4.3632426	4.6413221	3.8889355	6.2829587	3.3271505	4.4390427	4.9390596	5.1087194	4.0225381	3.9832988	4.1439261	4.4541688	3.7621327	3.9714059	4.2397721	5.3415162	3.6330856	6.3098782	3.877875	5.4809492	4.3256434	3.939832	3.7447435	4.0455006	3.7789546	3.9978855	4.1663768	3.5675431	3.6969284	3.8971899	4.1144689	2.7461218	4.1689704	4.385754	4.0959845	3.7611321	4.4148365	3.346705	3.9884067	3.5959532	3.0504472	5.0528394	3.9855249	3.5082145	8.6952806	4.467122	3.977156	3.918712	5.1876676	6.3026386
FGF5	3.3618358	3.7553768	2.9907938	3.9896453	3.6825049	5.0390205	4.4897271	3.4479955	4.8629723	3.607401	3.710454	4.4338883	3.3721855	4.3592521	3.7900754	4.541953	3.6630308	3.3299772	3.0921708	2.9388934	3.68892	3.2342283	3.6604072	4.066414	4.1785667	3.9912621	3.4762295	3.2424311	3.4972881	3.2437349	3.5051438	4.2113764	3.5353343	3.6435144	3.4357602	3.9530738	3.253814	3.0742007	3.6995678	3.235586	3.3591462	3.6949666	2.1293732	4.4813339	3.0224664	3.0879133	3.6193945	3.1475343	3.1027145	3.5470362	3.7488777	3.1694417	3.5678969	1.6295786	4.1879532	3.2984102	3.3730549	3.5238284	3.7167638	3.1352096	4.4965755	3.5076924	3.7730944	3.6456234	3.5390357	3.6790489	2.954501	3.6597695	3.7680382	2.8776356	3.2418844	3.9744292
TERT	6.7214464	4.1584875	4.6245283	7.3192444	3.6850115	5.1936371	4.4129911	3.7592314	4.2452845	3.6810609	4.129659	4.2526673	4.2210653	7.5715112	6.8139768	4.026396	3.3370555	3.5103914	5.6616367	4.0858082	3.3678274	4.335268	5.3228213	4.4520892	3.2051978	4.7814626	4.9926788	6.8913723	3.447108	4.8910503	5.1039583	3.4650232	7.4725679	5.5366887	5.5886725	3.3395834	4.1881135	4.278461	5.8137616	4.5120667	3.9625742	3.2655357	4.2495657	3.5941937	3.407166	4.0099254	9.1748235	3.9853138	4.7621917	4.7407152	3.58147	3.2504229	3.5996504	4.0042146	4.308062	3.6141519	3.9605801	5.9283474	5.1598657	4.022372	3.7807411	4.1035693	4.1529891	4.2129794	4.3652396	3.8148759	3.7822636	4.9089952	4.4658721	4.2734314	4.0655757	6.4604469
XBP1	8.5453729	7.6402896	9.9149929	9.3709813	7.6507732	8.8129371	9.8245894	8.9545818	8.6300774	9.3921529	8.6670125	9.125457	8.5542329	8.8508179	8.4586985	10.1919626	8.6653111	8.0804601	8.7772858	7.463281	8.2097642	8.9717897	9.0651972	9.1396094	8.1063747	8.4913785	8.3735454	9.3311092	9.9624953	7.5460016	8.8706906	9.2425303	8.9094195	9.2078522	8.9854199	8.728777	8.9130948	6.917137	9.2883047	8.3552593	10.1340632	8.8940597	8.7115394	9.4023969	9.7989497	10.0019155	9.6528726	8.6893224	8.2099671	7.557423	8.446416	7.5788735	8.6134688	8.9121899	9.4506229	9.5420335	8.7264793	9.7685304	9.0735112	8.4263988	8.3421284	9.2794863	9.3642352	8.2335757	9.2684834	9.0070613	8.2202671	9.1505589	9.1001825	9.0837653	8.3407866	8.8241261
IDO1	3.221365	5.5004726	3.9069508	3.3976794	5.8880795	3.6680216	4.25878	4.5671168	5.5914504	3.810862	3.5871464	5.2768767	3.4831939	8.0737051	6.1498723	5.5813974	4.1207515	4.357083	4.8083419	3.6019029	4.9065547	4.355782	4.1603809	3.8439602	4.2920298	5.6420955	4.6048412	5.4110005	4.4183908	3.1896491	6.7188704	3.9143885	2.3627129	5.2327238	4.4425798	5.8261256	5.2662395	3.8129262	3.5707181	7.815509	4.2190375	3.8952632	5.2421628	2.0253757	3.7955172	3.4551106	3.8206419	5.7526838	3.6200454	3.7628835	3.6751334	5.0447531	4.3059648	1.3210693	4.1370616	3.3825496	3.9707689	5.108696	4.1641621	4.2197536	3.9503589	4.3638827	3.4412993	3.761078	4.6213014	4.6878759	4.6329414	4.3233606	4.2975965	4.0017762	3.9613335	4.9340738
ADAM17	5.8141738	5.6137335	5.9085455	5.7844619	5.5228739	5.6111173	6.2000223	5.842896	5.6282589	6.3917108	5.4830863	5.4397453	5.1695123	5.7213488	5.9592175	5.9975243	6.2011584	5.628599	6.073856	4.502571	6.0213394	6.0640634	5.8057494	5.5661434	5.3372429	5.7701944	5.447283	5.7363978	5.6972697	5.4571436	5.7009159	5.6721942	4.9730499	5.8398818	4.987317	6.4357823	5.5900672	5.656177	5.797113	5.8768342	5.4794918	6.0290238	5.8180021	4.8798133	5.5752802	5.1936585	5.7361327	5.501861	5.8476523	6.5177578	5.587772	5.7164436	5.7023356	5.3412637	5.1934272	5.7792618	6.0230557	6.3705982	5.3082777	5.696679	5.8507047	5.7009381	5.6797281	5.692658	5.1828613	6.4993734	5.4110414	5.1834566	5.4731963	5.5521122	5.4135664	5.2433519
EPCAM	8.5777036	7.4195993	9.0046195	8.1987741	9.3249611	8.4099403	8.7528934	8.6741054	8.2649874	9.4395929	9.1609547	7.8949235	8.9775742	8.3318206	7.9867885	8.8400662	8.4034373	8.7078057	7.9204553	7.9284666	9.0338232	8.2635264	8.5267585	8.0578284	8.1372586	8.216964	7.4821389	7.7210542	8.4792046	8.3868217	7.5467369	7.7512355	8.3640483	8.3071296	8.6321657	7.4065201	8.5868687	9.1599454	9.5774228	8.6161096	8.5940358	8.4684958	8.4877748	8.6524554	8.7095834	8.0347952	9.4302724	8.7122895	9.1651429	8.878581	9.1292802	9.6300694	8.5829153	8.1808818	7.6585465	8.6545856	9.1130414	9.7233313	8.4974394	9.9047468	8.7536192	8.8341858	8.9981267	9.44788	8.735775	8.1409623	8.5052638	9.1120419	8.5832028	9.622864	9.1057558	9.2015977
FOLR1	3.9815096	4.0154221	3.2255427	3.6813691	3.5537268	3.4208101	3.3818588	3.3718741	3.3016408	3.2433524	3.3954235	3.6346477	3.3835436	2.986702	2.9131938	3.2430595	3.9237992	3.4051748	3.3175555	4.4655956	3.3595038	3.5376139	3.1158814	3.6424583	3.4249104	3.7716841	3.1175514	3.475966	3.2406939	3.8389691	3.1038784	3.5578433	2.6814299	3.2835239	3.446194	3.0795955	3.1002656	3.8079795	3.4439738	4.0582591	3.3289811	3.2071506	3.6684109	2.5783063	3.2098848	3.1054502	2.4874826	2.369869	4.1852103	3.1393963	3.4095397	3.9761339	3.1672168	4.9334804	2.8851718	3.5329254	3.2651901	2.992105	3.0324459	3.0422713	3.8172817	2.9907505	3.4552911	3.3105006	3.5176994	3.923361	2.8086918	3.2239833	3.1586733	3.4883323	3.2386679	4.1068623
AIM2	3.4033899	3.7372299	3.3627792	3.5807908	5.5898372	3.2962054	3.5764763	3.39713	3.3871392	3.6803955	3.2435814	3.9168979	3.7654375	3.0385937	3.0357994	4.7328034	3.7217712	3.0274629	3.9075993	2.4060661	4.3877981	3.7125562	3.6023952	3.6776228	3.1193136	3.7893338	3.780732	4.002397	3.5973738	3.0770826	3.4567156	4.3479316	3.9698384	3.2955204	2.9467465	3.7575718	3.7911767	3.6293318	3.4941791	3.393053	3.4422369	3.5312325	3.7614857	3.5242641	2.6130392	3.3866362	3.3185165	3.5494513	3.6592117	3.3019735	3.1882731	3.0869115	3.3788657	2.9652511	2.5916943	3.6736107	3.5933348	3.8205147	3.3611621	3.4310684	3.1477268	2.4913736	3.6091926	3.1637126	2.5926141	3.1213243	3.9730836	3.337684	3.6326267	3.4808899	3.3672707	3.6412124
KLK3	2.9569196	3.1038773	3.9421076	2.7049332	3.6553656	3.2929095	2.4281578	3.4216083	3.2813816	2.8630542	3.214981	3.7228011	2.8712975	3.1436295	2.8440728	2.5726702	3.6812744	3.1633062	3.3060878	1.8600732	2.94278	2.6483729	3.3021432	4.0013785	2.7485047	2.4957951	3.1095793	1.8444861	2.1726076	3.2110902	3.8947864	3.6097205	4.0636902	2.9418299	3.6965351	2.2244815	3.7340774	3.0743292	4.0923419	3.8602041	2.827978	2.8290344	2.8242912	4.1242609	3.9299599	3.417276	2.6491972	1.8379116	3.2427502	2.4116502	3.6477431	3.7984811	2.8357494	4.6062077	2.7215077	3.5327798	3.4814565	2.6918716	2.6791403	3.2499233	2.711211	2.7615999	3.1635936	3.5309409	3.4522585	3.1071054	3.7124344	2.7068016	2.8278742	4.2084791	2.6660735	2.3655609
PSCA	3.8658592	3.4014527	4.7902634	3.737968	4.9058867	3.9914367	3.7711111	3.949796	4.7709188	3.8256334	3.596343	3.48234	3.881508	3.5651947	3.4937492	3.647594	3.9041442	3.8238514	3.1870269	3.5952897	4.3857798	3.5135416	3.5085437	3.1227903	3.7191112	5.4130588	4.8350233	2.8812402	6.2345101	8.9574378	3.7526389	4.2045366	3.58053	3.8462806	3.7564675	4.181841	3.5578573	3.4131317	3.5900032	4.5032554	3.8038785	3.6700239	4.0536612	1.6681983	4.1881146	3.8996332	3.0907519	3.5527666	4.1867484	3.3682386	6.1326294	3.6805141	3.0101694	3.55589	3.6116899	3.8160921	3.5840274	3.3404695	5.2679262	3.9178925	4.1222847	3.9453431	3.8079817	3.6002305	5.617705	4.1609261	3.7118035	4.1230462	3.501989	4.2795555	3.309577	4.5415618
STEAP1	6.482055	5.8608995	6.0108765	7.0668914	7.0684355	7.624211	6.07597	5.5813029	7.8945542	6.558496	6.2409278	7.8769897	8.1064102	7.9413334	7.8287645	6.0193178	6.9631596	8.2228592	7.4004618	7.1616007	7.6479908	7.5700259	7.9931098	6.3432071	8.6677294	7.7523222	7.3467479	8.4795737	7.3227027	6.5909571	7.7356623	7.5241337	7.6783445	7.1900883	7.3692914	7.7448753	7.2283849	8.1187446	7.3039948	6.8256544	4.6735001	6.7633029	5.6930691	5.6800143	3.254277	4.1801568	6.4758394	4.2350164	5.9122084	6.6918367	6.3949259	3.8050934	4.0949413	3.234801	3.8372398	5.0595222	7.0155986	5.8723858	4.4740442	5.793228	5.9511869	5.2194002	4.0895907	5.2138616	7.1220985	5.4821731	7.8543774	6.316028	5.2677719	3.9197066	5.7864764	5.8104731
PSAP	7.7040432	6.4030422	8.6399154	7.8509674	8.1125615	7.6547181	7.4703809	7.4632869	7.5957182	8.015883	7.8254647	7.6716667	6.9830983	7.6906932	7.6908579	7.5118786	7.7796868	7.6319868	8.0054963	6.5648667	8.3263851	8.2910499	7.7359604	7.1146674	7.3127602	7.3660298	6.5653877	6.9949901	8.4666638	7.3452152	7.4261751	7.3996656	7.3987075	7.6774972	7.4967952	8.7890808	7.9017236	8.1019096	8.2728586	7.9105227	8.1712622	7.900208	7.904667	6.8550937	7.7582775	8.5678535	7.4623068	7.8742465	8.1637114	7.5033876	7.953827	8.0915742	6.9782015	6.4595246	8.6333287	8.260804	7.7394052	8.5631828	7.3545773	8.2340278	7.8086495	7.546706	7.6297415	8.1561629	7.8112557	7.5610652	7.4606353	8.1401599	7.578078	8.4608274	7.3509953	7.8422809
KDR	6.855629	6.2950673	6.0826716	6.6303184	6.0570715	7.0971668	4.6010227	5.8589365	6.2289741	5.5822232	5.9779129	6.2350343	5.9973837	7.4850086	7.3315158	4.3801935	8.2744814	7.2396035	6.3932419	6.046169	6.0714305	6.0506329	6.5241445	6.0748143	6.9697286	7.0711536	7.9745466	6.430546	5.7051303	6.3695982	7.563034	6.5228551	5.5593646	8.5334553	6.4625736	7.0870353	7.4581076	5.8904403	6.6945553	6.3754452	6.9321865	7.7048783	7.1865454	5.9043733	7.6504805	7.4962498	6.9372659	7.1442004	7.665971	8.2471263	6.0475135	6.1082357	7.1241798	7.2310354	7.0595551	7.3924941	7.693814	7.1444696	6.8884999	6.0607948	7.468277	6.2106148	5.7669264	6.9525867	6.7715969	8.7122834	7.4950152	6.0796902	5.7778173	7.4277583	6.5667618	6.4949838
